id,type,desc,group
Jayroma,firm,Jayroma was a London-based clothing company run by Andrew Feldman,COVID contracts
Kate Bingham,person,"Kate Bingham is a biochemist, venture capitalist, and chair of the UK Vaccine Taskforce",COVID contracts
Jesse Norman,person,Jesse Norman is a Conservative MP and government minister,
Patrick Vallance,person,Patrick Vallance is the Chief Scientific Adviser to the UK government,
GlaxoSmithKline,firm,GlaxoSmithKline is a multinational pharmaceutical company,COVID contracts
Rachel Johnson,person,Rachel Johnson is a British journalist and sister of Conservative PM Boris Johnson,
Jo Johnson,person,"Jo Johnson is a former Conservative MP and minister, who was elevated to the House of Lords in 2019",
Ivo Dawnay,person,Ivo Dawnay is a director and consultant with the National Trust,
Tom Bingham,person,Tom Bingham was a prominent British judge,
Max Johnson,person,Max Johnson is an investment banker and half-brother of Conservative PM Boris Johnson,
REVIV Global,firm,"REVIV Global is a ""wellness"" company that provides  IV therapy and vitamin injections",COVID contracts
Globus Group,firm,Globus Group is a large UK-based manufacturing company,COVID contracts
Alpha Solway,firm,Alpha Solway is a company that manufactures PPE,COVID contracts
Mauritius,tax haven,Mauritius is one of the world's worst tax havens,Tax havens
Isle of Man,tax haven,The Isle of Man is regarded as a tax haven,Tax havens
Scottish government,government,Scottish government,
Meller Designs,firm,Meller Designs is a firm that imports and sells fashion and home accessories,COVID contracts
James Bethell,person,James Bethell is a Conservative peer and a government minister,COVID contracts
David Meller,person,David Meller is a British businessman and Conservative donor,COVID contracts
Meller Group,firm,The Meller Group is a cosmetics and fashion firm,COVID contracts
Clipper Logistics,firm,Clipper Logistics is a Leeds-based retail logistics firm,COVID contracts
Steve Parkin,person,Steve Parkin is founder of Clipper Logistics and a major Conservative donor,COVID contracts
Policy Exchange,think tank,Policy Exchange is a Conservative-leaning think tank founded by Michael Gove,
Theodore Agnew,person,Theodore Agnew is a Conservative peer and businessman,
Purple Surgical,firm,Purple Surgical is a UK-based manufacturer of single-use surgical devices,COVID contracts
British Virgin Islands,tax haven,The British Virgin Islands are a tax haven,Tax havens
Win Billion Investment Group,firm,Win Billion Investment Group is a company registered in the British Virgin Islands,COVID contracts
Exclusive Brethren,church,The Exclusive Brethren is a subset of the Christian Evangelical movement Plymouth Brethren and is known for its secretive practices,COVID contracts
Unispace Global,firm,Unispace Global is a design firm,COVID contracts
Gareth Hales,person,Gareth Hales is a prominent member of the Evangelical Christian group Exclusive Brethren,COVID contracts
Tower Supplies,firm,Tower Supplies is a PPE and workwear supplier,COVID contracts
Charlie Aris,person,Charlie Aris is CEO of Tower Supplies and is linked to the Evangelical Christian group Exclusive Brethren,COVID contracts
UBT,firm,"UBT (""Universal Business Team"") is a business advisory group that is linked to the Evangelical Christian group Exclusive Brethren",
The Bloomhill Trust,church,The Bloomhill Trust is part of OneSchool Global,
OneSchool Global,church,OneSchool Global is an educational organization associated with the Evangelical Christian group the Plymouth Brethren,
Charles Allen Campbell,person,Charles Allen Campbell is a trustee at The Bloomhill Trust and a director at Blueleaf Ltd,
Blueleaf,firm,Blueleaf Ltd is a non-specialised wholesale trade firm,COVID contracts
Techniclean Supply Ltd,firm,Techniclean Supply is a company that supplies cleaning chemicals and equipment,COVID contracts
Tim Browning,person,Tim Browning was a director at Techniclean Supply and is linked to the Evangelical Christian group Exclusive Brethren,
Medco Solutions,firm,Medco Solutions is a company that supplies medical devices,COVID contracts
Ross Robertson,person,Ross Robertson is a director of Medo Solutions,
Fulmer Education Trust,church,Fulmer Education Trust is part of the OneSchool Global network,
Admiral Associates,firm,Admiral Associates is a London-based PR agency,COVID contracts
Angus Collingwood-Cameron,person,Angus Collingwood-Cameron is company secretary of Admiral Associates,COVID contracts
Chillingham Wild Cattle Association,firm,Chillingham Wild Cattle Association runs the Chillingham Wild Cattle park in Northumberland,
Humphry Wakefield,person,"Humphry Wakefield is an English aristocrat, owner of Chillingham Castle, and father-in-law of Dominic Cummings",
Mary Wakefield,person,"Mary Wakefield is a columnist and editor at The Spectator, and is married to Dominic Cummings",
The Spectator,news,The Spectator is a weekly magazine that is generally supportive of the Conservative party,
Emily Duncan,person,"Emily Duncan is the <a target=""_blank"" href=""https://www.cps.org.uk/about/our-team/emily-duncan/"">Chief Operating Officer</a> at the rightwing think tank, Centre for Policy Studies",
Centre for Policy Studies,think tank,The Centre for Policy Studies is a rightwing think tank that was founded in 1974 by Keith Joseph and Margaret Thatcher,
Fraser Nelson,person,Fraser Nelson is the editor of The Spectator,
North East Says No,political campaign,"North East Says No (NESNO) was a political campaign against the devolution of North East England in the <a target=""_blank"" href=""https://en.wikipedia.org/wiki/2004_North_East_England_devolution_referendum"">2004 referendum</a>",
Michael Spencer,person,Michael Spencer is a British businessman,
Philip Dunne,person,Philip Dunne is a Conservative MP,
Faculty Science Ltd,firm,"Faculty Science is an <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/08873131"">Artifical intelligence firm</a> founded in 2014",COVID contracts
Mark Warner,person,"Mark Warner is the <a target=""_blank"" href=""https://faculty.ai/about-us/"">CEO and co-founder of Faculty</a>",COVID contracts
Ben Warner,person,"Ben Warner was a data scientist for Vote Leave <a target=""_blank"" href=""https://www.thetimes.co.uk/article/leave-campaigns-data-geek-joins-no-10-3klj3566j""> who now works for Downing Street</a>",COVID contracts
Nicola Blackwood,person,"<a target=""_blank"" href=""https://en.wikipedia.org/wiki/Nicola_Blackwood"">Nicola Blackwood</a> is a Conservative peer and former MP",
Paul Bate,person,"Paul Bate is a <a target=""_blank"" href=""https://uk.linkedin.com/in/paul-bate-4b23855"">Commercial VP</a> at Babylon Health",COVID contracts
Babylon Holdings,firm,"Babylon Holdings is a holding company <a target=""_blank"" href=""https://www.ft.com/content/1857cd9c-2afc-11e9-a5ab-ff8ef2b976c7"">registered in Jersey</a>",
Jersey,tax haven,Jersey is a tax haven,Tax havens
George Osborne,person,"<a target=""_blank"" href=""https://en.wikipedia.org/wiki/George_Osborne"">George Osborne</a> is a former Conservative MP and Chancellor of the Exchequer, and is now editor-in-chief of the daily newspaper The Evening Standard",
Evening Standard,news,"The <a target=""_blank"" href=""https://en.wikipedia.org/wiki/Evening_Standard"">Evening Standard</a> is a free daily newspaper published in London",
Emily Sheffield,person,"<a target=""_blank"" href=""https://en.wikipedia.org/wiki/Emily_Sheffield"">Emily Sheffield</a> is editor of the Evening Standard",
Mark Simmonds,person,"<a target=""_blank"" href=""https://en.wikipedia.org/wiki/Mark_Simmonds"">Mark Simmonds</a> is a former Conservative MP",
Circle Health,firm,"<a target=""_blank"" href=""https://en.wikipedia.org/wiki/Circle_Health_Ltd"">Circle Health</a> is a healthcare firm co-founded by Ali Parsa, who also founded Babylon Health",COVID contracts
Ali Parsa,person,"<a target=""_blank"" href=""https://en.wikipedia.org/wiki/Ali_Parsa"">Ali Parsa</a> is a businessman who founded Circle Health and Babylon Health",
Excalibur Healthcare Services,firm,Excalibur Healthcare Services is a British healthcare firm,COVID contracts
Ectoplasm,firm,"Ectoplasm is a company <a target=""_blank"" href=""https://opencorporates.com/companies/im/013201V"">registered in the Isle of Man</a>",COVID contracts
Hanbury Strategy,firm,Hanbury Strategy is a lobbying and PR firm,COVID contracts
Paul Stephenson,person,Paul Stephenson co-founded lobbying and PR firm Hanbury Strategy,COVID contracts
Vote Leave,political campaign,"Vote Leave was a campaign group that supported the ""Leave"" option in the 2016 EU referendum",
George Pascoe-Watson,person,George Pascoe-Watson is a journalist and public relations consultant,COVID contracts
Portland Communications,firm,Portland Communications is a PR and lobbying firm,COVID contracts
Natalie Pascoe-Watson,person,Natalie Pascoe-Watson is a PR consultant,COVID contracts
Tulchan Group,firm,Tulchan is a PR consultancy,COVID contracts
James O’Shaughnessy,firm,James O’Shaughnessy is a PR consultant,
Boston Consulting Group,firm,Boston Consulting Group is a global management consultancy,COVID contracts
Oxford Nanopore,firm,Oxford Nanopore is a DNA sequencing firm,COVID contracts
Alex Bourne,person,Alex Bourne runs Hinpack and is an acquaintance and former neighbour of Matt Hancock,COVID contracts
Hinpack,firm,Hinpack is a company that produces plastic cups and takeaway boxes for the catering industry,COVID contracts
Emily Gilruth,person,"Emily Gilruth is an <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/04398739/officers"">owner and director at Topwood Ltd</a>, and is the sister of Matt Hancock",COVID contracts
Topwood,firm,"Topwood Ltd is a firm that ""specialises in the secure storage, shredding and scanning of documents"". (<a  target=""_blank"" href=""https://www.bbc.com/news/uk-politics-56768601"">BBC News</a>)",COVID contracts
NHS England,NHS,NHS England,
NHS Wales,NHS,NHS Wales,
Greensill Capital,firm,Greensill Capital,Greensill
Bill Crothers,person,Bill Crothers is a former British civil servant.,Greensill
Rishi Sunak,person,Rishi Sunak is the Chancellor of the Exchequer,Greensill
Lex Greensill,person,"Lex Greensill is an Australian businessman and founder of Greensill Capital, which went bust in March 2021.",Greensill
Sanjeev Gupta,person,"<a target=""_blank"" href=""https://en.wikipedia.org/wiki/Sanjeev_Gupta"">Sanjeev Gupta</a> is an Indian-born British businessman, who operates in the steel and mining sectors.",Greensill
John Glen,person,John Glen is a Conservative MP and Treasury minister.,Greensill
David Brierwood,person,David Brierwood is a former investment banker and director at Greensill Capital.,Greensill
Morgan Stanley,firm,Morgan Stanley is an investment bank.,Greensill
Jeremy Heywood,person,Jeremy Heywood was a senior civil servant.,Greensill
Nigel Boardman,person,Nigel Boardman is a corporate lawyer who has been appointed to lead the inquiry into the Greensill lobbying scandal.,Greensill
Slaughter and May,firm,Slaughter and May is a corporate law firm.,Greensill
James Dyson,person,James Dyson is a British inventor and businessman.,
Michelle Donelan,person,"<a target=""_blank"" href=""https://en.wikipedia.org/wiki/Michelle_Donelan"">Michelle Donelan</a> is a Conservative MP and currently Minister of State for Universities.",
Bank of England,government,Bank of England,
Tom Scholar,person,Tom Scholar is a British civil servant currently serving as Permanent Secretary at HM Treasury.,
Charles Roxburgh,person,Charles Roxburgh is a British civil servant currently serving as Second Permanent Secretary to HM Treasury.,
Jon Cunliffe,person,Jon Cunliffe is the Deputy Governor of the Bank of England for Financial Stability.,
